"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":16730}]","16734","instructions","0","16831","0.0-0.0","1","650","","","","","","","","",""
"","9165","html-button-response","1","26019","0.0-1.0","1","650","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>","0","","","","","","",""
"","2460","html-keyboard-response","2","28495","0.0-2.0","1","650","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>","","32","","","","","",""
"","2567.3600000009174","survey-text","3","31094","0.0-3.0","1","650","","","","{""undefined"":""41""}","","","","",""
"","2862","survey-multi-choice","4","33983","0.0-4.0","1","650","","","","{""Q0"":""Female""}","","","","",""
"","16096","html-button-response","5","50099","0.0-5.0-0.0","1","650","<p> On each trial throughout the experiment you will choose between two options </br>a <b>Black Square </b> and <b> Black Triangle </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/square.png'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/triangle.png'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br></br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p>","0","","","","","","",""
"","28859","html-button-response","6","78978","0.0-5.0-1.0","1","650","<img src= 'NWTKimg/NonInfoDiagram.png'></img><p>As seen above, whether you choose the square or triangle, you will receive a coloured circle after the choice. </p> <p>This circle will be on screen for 20 seconds until you win points or receive 0 points.</p><p>The coloured circle depends on which option you chose. </br> In the above example, choosing a triangle leads to a green circle and choosing the square leads to a red circle.</p>Please note, the circles in your task will be different to the above colours.</br></br>","0","","","","","","",""
"","27881","html-button-response","7","106872","0.0-5.0-2.0","1","650","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br></br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","12422","survey-multi-choice","8","119323","0.0-5.0-3.0","1","650","","","","{""Q0"":""20 Seconds"",""Q1"":""True""}","","","","",""
"","2717","html-button-response","9","122069","0.0-6.0","1","650","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.","0","","","","","","",""
"","2987","bandit-task-exp6","10","148586","0.0-7.0-0.0","1","650","","","","","1","1","2","0","NonInfo"
"","2931","bandit-task-exp6","11","174662","0.0-7.0-0.1","1","650","","","","","2","2","1","0","NonInfo"
"","1705","bandit-task-exp6","12","199497","0.0-7.0-0.2","1","650","","","","","3","2","2","77","NonInfo"
"","2265","bandit-task-exp6","13","225982","0.0-7.0-0.3","1","650","","","","","4","1","1","124","NonInfo"
"","4298","bandit-task-exp6","14","253736","0.0-7.0-0.4","1","650","","","","","5","2","1","0","NonInfo"
"","2021","bandit-task-exp6","15","278501","0.0-7.0-0.5","1","650","","","","","6","2","1","0","NonInfo"
"","1812","bandit-task-exp6","16","303232","0.0-7.0-0.6","1","650","","","","","7","1","1","112","NonInfo"
"","1489","bandit-task-exp6","17","328406","0.0-7.0-0.7","1","650","","","","","8","1","2","0","NonInfo"
"","2342","bandit-task-exp6","18","355119","0.0-7.0-0.8","1","650","","","","","9","1","2","0","NonInfo"
"","5438","bandit-task-exp6","19","384602","0.0-7.0-0.9","1","650","","","","","10","1","1","118","NonInfo"
"","1385","bandit-task-exp6","20","408730","0.0-7.0-0.10","1","650","","","","","11","2","1","0","NonInfo"
"","1693","bandit-task-exp6","21","433185","0.0-7.0-0.11","1","650","","","","","12","1","2","0","NonInfo"
"","1510","bandit-task-exp6","22","457673","0.0-7.0-0.12","1","650","","","","","13","1","2","0","NonInfo"
"","1530","bandit-task-exp6","23","481802","0.0-7.0-0.13","1","650","","","","","14","1","2","0","NonInfo"
"","1475","bandit-task-exp6","24","505935","0.0-7.0-0.14","1","650","","","","","15","1","2","0","NonInfo"
"","null","html-keyboard-response","25","520960","0.0-8.0","1","650","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","2101","bandit-task-exp6","26","546042","0.0-9.0-0.0","1","650","","","","","16","1","1","115","NonInfo"
"","3432","bandit-task-exp6","27","575853","0.0-9.0-0.1","1","650","","","","","17","1","1","128","NonInfo"
"","3204","bandit-task-exp6","28","602113","0.0-9.0-0.2","1","650","","","","","18","2","1","0","NonInfo"
"","1268","bandit-task-exp6","29","626316","0.0-9.0-0.3","1","650","","","","","19","2","1","0","NonInfo"
"","1306","bandit-task-exp6","30","651009","0.0-9.0-0.4","1","650","","","","","20","2","2","77","NonInfo"
