"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":26289}]","26291","instructions","0","26300","0.0-0.0","0","44082","","","","","","","","",""
"","340308","html-button-response","1","366616","0.0-1.0","0","44082","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>","0","","","","","","",""
"","1613","html-keyboard-response","2","368238","0.0-2.0","0","44082","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>","","32","","","","","",""
"","2750.805000003311","survey-text","3","371009","0.0-3.0","0","44082","","","","{""undefined"":""46""}","","","","",""
"","1785","survey-multi-choice","4","372800","0.0-4.0","0","44082","","","","{""Q0"":""Male""}","","","","",""
"","55251","html-button-response","5","428056","0.0-5.0-0.0","0","44082","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p><p>You can however gain information about the outcome as the two options, Find Out Now & Keep It Secret, suggest. </p>","0","","","","","","",""
"","19962","html-button-response","6","448024","0.0-5.0-1.0","0","44082","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>","0","","","","","","",""
"","24186","html-button-response","7","472215","0.0-5.0-2.0","0","44082","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","35491","survey-multi-choice","8","507715","0.0-5.0-3.0","0","44082","","","","{""Q0"":""10 Seconds"",""Q1"":""True"",""Q2"":""True""}","","","","",""
"","1408","html-button-response","9","509129","0.0-5.0-4.0-0.0","0","44082","Unfortunately, at least one of your answers was incorrect.<p> ","0","","","","","","",""
"","2746","html-button-response","10","511881","0.0-5.1-0.1","0","44082","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p><p>You can however gain information about the outcome as the two options, Find Out Now & Keep It Secret, suggest. </p>","0","","","","","","",""
"","5388","html-button-response","11","517272","0.0-5.1-1.1","0","44082","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>","0","","","","","","",""
"","1749","html-button-response","12","519025","0.0-5.1-2.1","0","44082","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","7386","survey-multi-choice","13","526419","0.0-5.1-3.1","0","44082","","","","{""Q0"":""20 Seconds"",""Q1"":""True"",""Q2"":""True""}","","","","",""
"","2563","html-button-response","14","528992","0.0-6.0","0","44082","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.","0","","","","","","",""
"","2311","bandit-task-exp6","15","554073","0.0-7.0-0.0","0","44082","","","","","1","2","1","0","Informative"
"","1632","bandit-task-exp6","16","602199","0.0-7.0-0.1","0","44082","","","","","2","1","2","0","Informative"
"","3320","bandit-task-exp6","17","627742","0.0-7.0-0.2","0","44082","","","","","3","1","1","129","Informative"
"","2152","bandit-task-exp6","18","661397","0.0-7.0-0.3","0","44082","","","","","4","2","2","82","Informative"
"","1552","bandit-task-exp6","19","705515","0.0-7.0-0.4","0","44082","","","","","5","1","2","0","Informative"
"","6721","bandit-task-exp6","20","743946","0.0-7.0-0.5","0","44082","","","","","6","1","1","121","Informative"
"","8200","bandit-task-exp6","21","776888","0.0-7.0-0.6","0","44082","","","","","7","2","2","74","Informative"
"","2144","bandit-task-exp6","22","816087","0.0-7.0-0.7","0","44082","","","","","8","1","2","0","Informative"
"","858","bandit-task-exp6","23","839558","0.0-7.0-0.8","0","44082","","","","","9","2","2","73","Informative"
"","1329","bandit-task-exp6","24","862757","0.0-7.0-0.9","0","44082","","","","","10","2","1","0","Informative"
"","1018","bandit-task-exp6","25","887004","0.0-7.0-0.10","0","44082","","","","","11","2","2","88","Informative"
"","1304","bandit-task-exp6","26","916101","0.0-7.0-0.11","0","44082","","","","","12","1","1","130","Informative"
"","1567","bandit-task-exp6","27","945362","0.0-7.0-0.12","0","44082","","","","","13","1","2","0","Informative"
"","2769","bandit-task-exp6","28","970802","0.0-7.0-0.13","0","44082","","","","","14","1","1","129","Informative"
"","1097","bandit-task-exp6","29","1003232","0.0-7.0-0.14","0","44082","","","","","15","1","1","120","Informative"
"","null","html-keyboard-response","30","1018236","0.0-8.0","0","44082","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","6253","bandit-task-exp6","31","1055823","0.0-9.0-0.0","0","44082","","","","","16","1","2","0","Informative"
"","1042","bandit-task-exp6","32","1080933","0.0-9.0-0.1","0","44082","","","","","17","1","2","0","Informative"
"","1200","bandit-task-exp6","33","1105196","0.0-9.0-0.2","0","44082","","","","","18","2","1","0","Informative"
"","1143","bandit-task-exp6","34","1145923","0.0-9.0-0.3","0","44082","","","","","19","1","2","0","Informative"
"","993","bandit-task-exp6","35","1183674","0.0-9.0-0.4","0","44082","","","","","20","2","1","0","Informative"
"","1720","bandit-task-exp6","36","1207448","0.0-9.0-0.5","0","44082","","","","","21","2","1","0","Informative"
"","561","bandit-task-exp6","37","1230816","0.0-9.0-0.6","0","44082","","","","","22","1","1","120","Informative"
"","889","bandit-task-exp6","38","1254831","0.0-9.0-0.7","0","44082","","","","","23","2","1","0","Informative"
"","1090","bandit-task-exp6","39","1277944","0.0-9.0-0.8","0","44082","","","","","24","2","1","0","Informative"
"","1474","bandit-task-exp6","40","1303472","0.0-9.0-0.9","0","44082","","","","","25","2","1","0","Informative"
