"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":4613}]","4614","instructions","0","4623","0.0-0.0","1","35402","","","","","","","","",""
"","1663","html-button-response","1","6291","0.0-1.0","1","35402","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>","0","","","","","","",""
"","2929","html-keyboard-response","2","9223","0.0-2.0","1","35402","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>","","32","","","","","",""
"","2817.164999898523","survey-text","3","12048","0.0-3.0","1","35402","","","","{""undefined"":""30""}","","","","",""
"","1351","survey-multi-choice","4","13405","0.0-4.0","1","35402","","","","{""Q0"":""Male""}","","","","",""
"","19492","html-button-response","5","32900","0.0-5.0-0.0","1","35402","<p> On each trial throughout the experiment you will choose between two options </br>a <b>Black Square </b> and <b> Black Triangle </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/square.png'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/triangle.png'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br></br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p>","0","","","","","","",""
"","32121","html-button-response","6","65022","0.0-5.0-1.0","1","35402","<img src= 'NWTKimg/NonInfoDiagram.png'></img><p>As seen above, whether you choose the square or triangle, you will receive a coloured circle after the choice. </p> <p>This circle will be on screen for 20 seconds until you win points or receive 0 points.</p><p>The coloured circle depends on which option you chose. </br> In the above example, choosing a triangle leads to a green circle and choosing the square leads to a red circle.</p>Please note, the circles in your task will be different to the above colours.</br></br>","0","","","","","","",""
"","10020","html-button-response","7","75046","0.0-5.0-2.0","1","35402","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br></br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","7551","survey-multi-choice","8","82606","0.0-5.0-3.0","1","35402","","","","{""Q0"":""20 Seconds"",""Q1"":""True""}","","","","",""
"","2177","html-button-response","9","84785","0.0-6.0","1","35402","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.","0","","","","","","",""
"","1814","bandit-task-exp6","10","109840","0.0-7.0-0.0","1","35402","","","","","1","2","2","86","NonInfo"
"","1359","bandit-task-exp6","11","133364","0.0-7.0-0.1","1","35402","","","","","2","2","2","87","NonInfo"
"","970","bandit-task-exp6","12","161651","0.0-7.0-0.2","1","35402","","","","","3","1","2","0","NonInfo"
"","609","bandit-task-exp6","13","185843","0.0-7.0-0.3","1","35402","","","","","4","2","2","88","NonInfo"
"","882","bandit-task-exp6","14","213428","0.0-7.0-0.4","1","35402","","","","","5","2","2","74","NonInfo"
"","591","bandit-task-exp6","15","236831","0.0-7.0-0.5","1","35402","","","","","6","2","2","79","NonInfo"
"","640","bandit-task-exp6","16","259535","0.0-7.0-0.6","1","35402","","","","","7","2","2","84","NonInfo"
"","863","bandit-task-exp6","17","301033","0.0-7.0-0.7","1","35402","","","","","8","2","1","0","NonInfo"
"","922","bandit-task-exp6","18","336519","0.0-7.0-0.8","1","35402","","","","","9","1","2","0","NonInfo"
"","3934","bandit-task-exp6","19","362643","0.0-7.0-0.9","1","35402","","","","","10","2","1","0","NonInfo"
"","765","bandit-task-exp6","20","385727","0.0-7.0-0.10","1","35402","","","","","11","2","1","0","NonInfo"
"","810","bandit-task-exp6","21","408749","0.0-7.0-0.11","1","35402","","","","","12","1","1","130","NonInfo"
"","499","bandit-task-exp6","22","436000","0.0-7.0-0.12","1","35402","","","","","13","1","2","0","NonInfo"
"","1194","bandit-task-exp6","23","461065","0.0-7.0-0.13","1","35402","","","","","14","2","1","0","NonInfo"
"","1125","bandit-task-exp6","24","487736","0.0-7.0-0.14","1","35402","","","","","15","2","2","82","NonInfo"
"","null","html-keyboard-response","25","502740","0.0-8.0","1","35402","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1603","bandit-task-exp6","26","531975","0.0-9.0-0.0","1","35402","","","","","16","2","2","89","NonInfo"
"","2082","bandit-task-exp6","27","556248","0.0-9.0-0.1","1","35402","","","","","17","1","2","0","NonInfo"
"","1057","bandit-task-exp6","28","580280","0.0-9.0-0.2","1","35402","","","","","18","2","2","82","NonInfo"
"","790","bandit-task-exp6","29","604109","0.0-9.0-0.3","1","35402","","","","","19","2","1","0","NonInfo"
"","1835","bandit-task-exp6","30","634244","0.0-9.0-0.4","1","35402","","","","","20","1","1","119","NonInfo"
"","593","bandit-task-exp6","31","656574","0.0-9.0-0.5","1","35402","","","","","21","1","2","0","NonInfo"
"","1031","bandit-task-exp6","32","679672","0.0-9.0-0.6","1","35402","","","","","22","2","2","82","NonInfo"
"","1778","bandit-task-exp6","33","703347","0.0-9.0-0.7","1","35402","","","","","23","2","2","71","NonInfo"
"","2388","bandit-task-exp6","34","1230002","0.0-9.0-0.8","1","35402","","","","","24","2","1","0","NonInfo"
"","1243","bandit-task-exp6","35","1253279","0.0-9.0-0.9","1","35402","","","","","25","2","1","0","NonInfo"
"","1163","bandit-task-exp6","36","1276699","0.0-9.0-0.10","1","35402","","","","","26","2","1","0","NonInfo"
"","1509","bandit-task-exp6","37","1299960","0.0-9.0-0.11","1","35402","","","","","27","1","1","124","NonInfo"
"","959","bandit-task-exp6","38","1322644","0.0-9.0-0.12","1","35402","","","","","28","1","2","0","NonInfo"
"","679","bandit-task-exp6","39","1345644","0.0-9.0-0.13","1","35402","","","","","29","2","1","0","NonInfo"
"","580","bandit-task-exp6","40","1371049","0.0-9.0-0.14","1","35402","","","","","30","2","1","0","NonInfo"
"","null","html-keyboard-response","41","1386053","0.0-10.0","1","35402","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","4988","bandit-task-exp6","42","1415630","0.0-11.0-0.0","1","35402","","","","","31","1","1","115","NonInfo"
"","358","bandit-task-exp6","43","1439811","0.0-11.0-0.1","1","35402","","","","","32","2","2","89","NonInfo"
"","687","bandit-task-exp6","44","1462099","0.0-11.0-0.2","1","35402","","","","","33","1","1","110","NonInfo"
"","558","bandit-task-exp6","45","1484942","0.0-11.0-0.3","1","35402","","","","","34","2","2","89","NonInfo"
"","581","bandit-task-exp6","46","1507146","0.0-11.0-0.4","1","35402","","","","","35","2","2","81","NonInfo"
"","583","bandit-task-exp6","47","1538565","0.0-11.0-0.5","1","35402","","","","","36","2","2","80","NonInfo"
"","693","bandit-task-exp6","48","1562041","0.0-11.0-0.6","1","35402","","","","","37","1","2","0","NonInfo"
"","534","bandit-task-exp6","49","1585471","0.0-11.0-0.7","1","35402","","","","","38","2","2","86","NonInfo"
"","412","bandit-task-exp6","50","1610252","0.0-11.0-0.8","1","35402","","","","","39","2","1","0","NonInfo"
"","595","bandit-task-exp6","51","1633846","0.0-11.0-0.9","1","35402","","","","","40","1","1","118","NonInfo"
"","550","bandit-task-exp6","52","1661955","0.0-11.0-0.10","1","35402","","","","","41","2","1","0","NonInfo"
"","14546","bandit-task-exp6","53","1701687","0.0-11.0-0.11","1","35402","","","","","42","2","2","89","NonInfo"
"","673","bandit-task-exp6","54","1725172","0.0-11.0-0.12","1","35402","","","","","43","1","1","128","NonInfo"
"","1338","bandit-task-exp6","55","1749046","0.0-11.0-0.13","1","35402","","","","","44","1","1","115","NonInfo"
"","695","bandit-task-exp6","56","1773425","0.0-11.0-0.14","1","35402","","","","","45","2","2","71","NonInfo"
"","null","html-keyboard-response","57","1788428","0.0-12.0","1","35402","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1032","bandit-task-exp6","58","1816533","0.0-13.0-0.0","1","35402","","","","","46","1","1","114","NonInfo"
"","614","bandit-task-exp6","59","1846473","0.0-13.0-0.1","1","35402","","","","","47","1","1","117","NonInfo"
"","542","bandit-task-exp6","60","1874588","0.0-13.0-0.2","1","35402","","","","","48","2","1","0","NonInfo"
"","524","bandit-task-exp6","61","1896768","0.0-13.0-0.3","1","35402","","","","","49","2","2","82","NonInfo"
"","586","bandit-task-exp6","62","1918725","0.0-13.0-0.4","1","35402","","","","","50","1","2","0","NonInfo"
"","459","bandit-task-exp6","63","1942074","0.0-13.0-0.5","1","35402","","","","","51","2","2","88","NonInfo"
"","818","bandit-task-exp6","64","1964649","0.0-13.0-0.6","1","35402","","","","","52","1","1","120","NonInfo"
"","863","bandit-task-exp6","65","1987053","0.0-13.0-0.7","1","35402","","","","","53","1","2","0","NonInfo"
"","702","bandit-task-exp6","66","2010262","0.0-13.0-0.8","1","35402","","","","","54","2","1","0","NonInfo"
"","1092","bandit-task-exp6","67","2033144","0.0-13.0-0.9","1","35402","","","","","55","1","1","119","NonInfo"
