"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":46659}]","46660","instructions","0","46672","0.0-0.0","0","47890","","","","","","","","",""
"","15831","html-button-response","1","62508","0.0-1.0","0","47890","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>","0","","","","","","",""
"","4351","html-keyboard-response","2","66862","0.0-2.0","0","47890","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>","","32","","","","","",""
"","7921.375000005355","survey-text","3","74794","0.0-3.0","0","47890","","","","{""undefined"":""47""}","","","","",""
"","3822","survey-multi-choice","4","78621","0.0-4.0","0","47890","","","","{""Q0"":""Female""}","","","","",""
"","32404","html-button-response","5","111029","0.0-5.0-0.0","0","47890","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p><p>You can however gain information about the outcome as the two options, Find Out Now & Keep It Secret, suggest. </p>","0","","","","","","",""
"","49974","html-button-response","6","161007","0.0-5.0-1.0","0","47890","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>","0","","","","","","",""
"","11609","html-button-response","7","172620","0.0-5.0-2.0","0","47890","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","27859","survey-multi-choice","8","200485","0.0-5.0-3.0","0","47890","","","","{""Q0"":""20 Seconds"",""Q1"":""True"",""Q2"":""True""}","","","","",""
"","4761","html-button-response","9","205252","0.0-6.0","0","47890","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.","0","","","","","","",""
"","2857","bandit-task-exp6","10","235809","0.0-7.0-0.0","0","47890","","","","","1","2","2","73","Informative"
"","2797","bandit-task-exp6","11","263413","0.0-7.0-0.1","0","47890","","","","","2","2","1","0","Informative"
"","4615","bandit-task-exp6","12","291764","0.0-7.0-0.2","0","47890","","","","","3","1","2","0","Informative"
"","1354","bandit-task-exp6","13","321757","0.0-7.0-0.3","0","47890","","","","","4","2","2","76","Informative"
"","2305","bandit-task-exp6","14","352069","0.0-7.0-0.4","0","47890","","","","","5","2","1","0","Informative"
"","1617","bandit-task-exp6","15","377405","0.0-7.0-0.5","0","47890","","","","","6","1","1","122","Informative"
"","2842","bandit-task-exp6","16","405014","0.0-7.0-0.6","0","47890","","","","","7","1","1","123","Informative"
"","1901","bandit-task-exp6","17","431360","0.0-7.0-0.7","0","47890","","","","","8","2","1","0","Informative"
"","2455","bandit-task-exp6","18","457709","0.0-7.0-0.8","0","47890","","","","","9","1","1","119","Informative"
"","1994","bandit-task-exp6","19","483582","0.0-7.0-0.9","0","47890","","","","","10","1","1","128","Informative"
"","2742","bandit-task-exp6","20","510683","0.0-7.0-0.10","0","47890","","","","","11","2","1","0","Informative"
"","3867","bandit-task-exp6","21","538093","0.0-7.0-0.11","0","47890","","","","","12","1","1","127","Informative"
"","1891","bandit-task-exp6","22","566486","0.0-7.0-0.12","0","47890","","","","","13","2","2","75","Informative"
"","2267","bandit-task-exp6","23","595012","0.0-7.0-0.13","0","47890","","","","","14","2","1","0","Informative"
"","3683","bandit-task-exp6","24","623389","0.0-7.0-0.14","0","47890","","","","","15","1","2","0","Informative"
"","null","html-keyboard-response","25","638452","0.0-8.0","0","47890","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1955","bandit-task-exp6","26","663565","0.0-9.0-0.0","0","47890","","","","","16","2","1","0","Informative"
"","2394","bandit-task-exp6","27","689189","0.0-9.0-0.1","0","47890","","","","","17","2","1","0","Informative"
"","1274","bandit-task-exp6","28","715133","0.0-9.0-0.2","0","47890","","","","","18","1","2","0","Informative"
"","2026","bandit-task-exp6","29","741665","0.0-9.0-0.3","0","47890","","","","","19","1","1","111","Informative"
"","2142","bandit-task-exp6","30","767045","0.0-9.0-0.4","0","47890","","","","","20","2","1","0","Informative"
"","1698","bandit-task-exp6","31","791343","0.0-9.0-0.5","0","47890","","","","","21","1","2","0","Informative"
"","1490","bandit-task-exp6","32","815837","0.0-9.0-0.6","0","47890","","","","","22","2","1","0","Informative"
"","3522","bandit-task-exp6","33","843454","0.0-9.0-0.7","0","47890","","","","","23","2","1","0","Informative"
"","2235","bandit-task-exp6","34","870418","0.0-9.0-0.8","0","47890","","","","","24","1","1","115","Informative"
"","2950","bandit-task-exp6","35","897260","0.0-9.0-0.9","0","47890","","","","","25","2","2","73","Informative"
"","1749","bandit-task-exp6","36","924448","0.0-9.0-0.10","0","47890","","","","","26","1","1","117","Informative"
"","2563","bandit-task-exp6","37","953096","0.0-9.0-0.11","0","47890","","","","","27","2","2","89","Informative"
"","2570","bandit-task-exp6","38","981578","0.0-9.0-0.12","0","47890","","","","","28","1","1","125","Informative"
"","2089","bandit-task-exp6","39","1008833","0.0-9.0-0.13","0","47890","","","","","29","1","2","0","Informative"
"","2529","bandit-task-exp6","40","1037304","0.0-9.0-0.14","0","47890","","","","","30","2","2","87","Informative"
"","null","html-keyboard-response","41","1052323","0.0-10.0","0","47890","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1629","bandit-task-exp6","42","1078726","0.0-11.0-0.0","0","47890","","","","","31","1","2","0","Informative"
"","2061","bandit-task-exp6","43","1104690","0.0-11.0-0.1","0","47890","","","","","32","2","1","0","Informative"
"","2881","bandit-task-exp6","44","1132225","0.0-11.0-0.2","0","47890","","","","","33","2","1","0","Informative"
"","2482","bandit-task-exp6","45","1160793","0.0-11.0-0.3","0","47890","","","","","34","1","2","0","Informative"
"","1986","bandit-task-exp6","46","1189829","0.0-11.0-0.4","0","47890","","","","","35","1","2","0","Informative"
"","1150","bandit-task-exp6","47","1215665","0.0-11.0-0.5","0","47890","","","","","36","2","1","0","Informative"
"","2000","bandit-task-exp6","48","1243290","0.0-11.0-0.6","0","47890","","","","","37","2","2","79","Informative"
"","3960","bandit-task-exp6","49","1271922","0.0-11.0-0.7","0","47890","","","","","38","1","1","113","Informative"
"","4205","bandit-task-exp6","50","1301978","0.0-11.0-0.8","0","47890","","","","","39","2","1","0","Informative"
"","3345","bandit-task-exp6","51","1331066","0.0-11.0-0.9","0","47890","","","","","40","2","2","76","Informative"
"","2011","bandit-task-exp6","52","1361866","0.0-11.0-0.10","0","47890","","","","","41","1","1","112","Informative"
"","2682","bandit-task-exp6","53","1388130","0.0-11.0-0.11","0","47890","","","","","42","2","2","77","Informative"
"","1776","bandit-task-exp6","54","1415174","0.0-11.0-0.12","0","47890","","","","","43","2","2","80","Informative"
"","2054","bandit-task-exp6","55","1440434","0.0-11.0-0.13","0","47890","","","","","44","1","1","119","Informative"
"","2114","bandit-task-exp6","56","1467345","0.0-11.0-0.14","0","47890","","","","","45","1","1","127","Informative"
"","null","html-keyboard-response","57","1482362","0.0-12.0","0","47890","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","2895","bandit-task-exp6","58","1508875","0.0-13.0-0.0","0","47890","","","","","46","2","2","87","Informative"
"","1640","bandit-task-exp6","59","1533866","0.0-13.0-0.1","0","47890","","","","","47","2","1","0","Informative"
"","1344","bandit-task-exp6","60","1558250","0.0-13.0-0.2","0","47890","","","","","48","2","1","0","Informative"
"","3129","bandit-task-exp6","61","1585580","0.0-13.0-0.3","0","47890","","","","","49","1","2","0","Informative"
"","2712","bandit-task-exp6","62","1613727","0.0-13.0-0.4","0","47890","","","","","50","2","2","71","Informative"
"","1485","bandit-task-exp6","63","1638819","0.0-13.0-0.5","0","47890","","","","","51","2","1","0","Informative"
"","2504","bandit-task-exp6","64","1666859","0.0-13.0-0.6","0","47890","","","","","52","1","1","129","Informative"
"","1362","bandit-task-exp6","65","1693538","0.0-13.0-0.7","0","47890","","","","","53","2","1","0","Informative"
"","2777","bandit-task-exp6","66","1719602","0.0-13.0-0.8","0","47890","","","","","54","2","1","0","Informative"
"","1714","bandit-task-exp6","67","1744790","0.0-13.0-0.9","0","47890","","","","","55","2","1","0","Informative"
"","2439","bandit-task-exp6","68","1770798","0.0-13.0-0.10","0","47890","","","","","56","1","2","0","Informative"
"","3382","bandit-task-exp6","69","1797110","0.0-13.0-0.11","0","47890","","","","","57","2","1","0","Informative"
"","2835","bandit-task-exp6","70","1826025","0.0-13.0-0.12","0","47890","","","","","58","1","1","121","Informative"
"","3301","bandit-task-exp6","71","1853804","0.0-13.0-0.13","0","47890","","","","","59","2","1","0","Informative"
"","1480","bandit-task-exp6","72","1881222","0.0-13.0-0.14","0","47890","","","","","60","1","2","0","Informative"
"","6256","html-button-response","73","1887482","0.0-14.0","0","47890","<p> Congratulations, you have finished the main part of the experiment. </p><p>Before you finish, we have a few short questions about the options and outcomes you saw in the task.</p>","0","","","","","","",""
"","85224.51499999431","survey-text","74","1972715","0.0-15.0","0","47890","","","","{""undefined"":""1200""}","","","","",""
"","8874.779999998165","survey-text","75","1981598","0.0-16.0","0","47890","","","","{""undefined"":""1500""}","","","","",""
"","8497.23000000813","survey-text","76","1990103","0.0-17.0","0","47890","","","","{""undefined"":""A3VM75LZEH0FLZ""}","","","","",""
"","25426","html-button-response","77","2015534","0.0-18.0","0","47890","<p><b>The task is now finished</b></p>Copy the following code:  <b>47890</b></br><p>This is your HIT which you will need to receive payment via mTurk.</p><p><b>Thank you for taking part and completing the experiment!</b></p>","0","","","","","","",""
